gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_016683	C1	C2	OK	311.616	683.561	1.1333	6.3903	5e-05	0.00157081	yes
XLOC_016860	C1	C2	OK	112.813	242.615	1.10473	2.90067	5e-05	0.00157081	yes
XLOC_016917	C1	C2	OK	54.4093	84.7279	0.638982	2.88738	5e-05	0.00157081	yes
XLOC_016966	C1	C2	OK	35.7565	73.2815	1.03524	4.03346	5e-05	0.00157081	yes
XLOC_016967	C1	C2	OK	53.5467	83.3088	0.63767	3.4096	5e-05	0.00157081	yes
XLOC_016971	C1	C2	OK	119.476	195.841	0.712965	4.48033	5e-05	0.00157081	yes
XLOC_017030	C1	C2	OK	120.635	256.356	1.0875	5.97689	5e-05	0.00157081	yes
XLOC_017173	C1	C2	OK	71.4462	121.485	0.765853	4.18135	5e-05	0.00157081	yes
XLOC_017178	C1	C2	OK	9.14081	13.4039	0.552255	2.51833	5e-05	0.00157081	yes
XLOC_017191	C1	C2	OK	177.114	351.016	0.986857	4.64742	5e-05	0.00157081	yes
XLOC_017281	C1	C2	OK	122.989	266.052	1.11318	6.90142	5e-05	0.00157081	yes
XLOC_017346	C1	C2	OK	148.102	275.944	0.897779	4.26207	5e-05	0.00157081	yes
XLOC_017558	C1	C2	OK	151.909	358.885	1.24032	7.96465	5e-05	0.00157081	yes
XLOC_017564	C1	C2	OK	6687.57	14444.5	1.11097	4.17803	5e-05	0.00157081	yes
